㓥,tong1
聽,teng1
聽乞米,ting3 haak1 mai5
聽嘢,teng1 je5
聽日,ting1 jat6
聽晚,ting1 maan5
聽朝,ting1 ziu1
聽歌,teng1 go1
聽眾,ting3 zung3
聽聞,teng1 man4
聽講,teng1 gong2
聽道,teng1 dou6
聽電話,teng1 din6 waa2
肉,juk6
肉桂,juk6 gwai3
肉色,juk6 sik1
肉質,juk6 zat1
肉质,juk6 zat1
肉酸,juk6 syun1
肋膀,laak6 pong4
肌肉,gei1 juk6
肌肉型,gei1 juk6 jing4
肚,tou5
肚痛,tou5 tung3
肚脐,tou5 ci4
肚腩,tou5 naam5
肚臍,tou5 ci4
肚餓,tou5 ngo6
肚饿,tou5 ngo6
肝炎,gon1 jim4
肠,coeng2
股,gu2
股价,gu2 gaa3
股份,gu2 fan2
股價,gu2 gaa3
股市,gu2 si5
股票,gu2 piu3
肢解,zi1 gaai2
肥,fei4
肥仔,fei4 zai2
肥妹,fei4 mui1
肥尸大只,fei4 si1 daai6 zek3
肥屍大隻,fei4 si1 daai6 zek3
肥猫,fei4 maau1
肥肥白白,fei4 fei4 baak6 baak6
肥豪,fei4 hou4
肥貓,fei4 maau1
肯,hang2
肯定,hang2 ding6
肺,fai3
肾,san6
肿,zung2
肿胀,zung2 zoeng3
胀,zoeng3
胁,hip3
胃,wai6
胃痛,wai6 tung3
背,bui6
背后,bui3 hau6
背囊,bui3 nong4
背影,bui3 jing2
背後,bui3 hau6
背心,bui3 sam1
背景,bui3 ging2
胜任,sing1 jam6
胡须,wu4 sou1
胭脂,jin1 zi1
胶套,gaau1 tou3
胶布,gaau1 bou3
胶袋,gaau1 doi2
胸,hung1
能,nang4
能力,nang4 lik6
能够,nang4 gau3
能夠,nang4 gau3
脅,hip3
脆,ceoi3
脈,mak6
脉,mak6
脑,nou5
脑电波,nou5 din6 bo1
脚,goek3
脚法,goek3 faat3
脚瓜瓤,goek3 gwaa1 long1
脣膏,seon4 gou1
脫跤,tyut3 gaau3
脫骹,tyut3 gaau3
脱跤,tyut3 gaau3
脱骹,tyut3 gaau3
脷,lei6
脸,lim5
脹,zoeng3
脾气,pei4 hei3
脾氣,pei4 hei3
腌,jip3
腍,nam4
腎,san6
腦,nou5
腦電波,nou5 din6 bo1
腫,zung2
腫脹,zung2 zoeng3
腰,jiu1
腰力,jiu1 lik6
腰馬合一,jiu1 maa5 hap6 jat1
腰马合一,jiu1 maa5 hap6 jat1
腳,goek3
腳法,goek3 faat3
腳瓜瓤,goek3 gwaa1 long1
腸,coeng2
腻,nei6
腿,teoi2
腿部,teoi2 bou6
膊头,bok3 tau4
膊頭,bok3 tau4
膠套,gaau1 tou3
膠布,gaau1 bou3
膠袋,gaau1 doi2
膩,nei6
臉,lim5
臥,ngo6
臨,lam4
臨尾,lam4 mei1
臨時,lam4 si4
臨行,lam4 haang4
臨走,lam4 zau2
自,zi6
自从,zi6 cung4
自付,zi6 fu6
自传,zi6 zyun2
自傳,zi6 zyun2
自动,zi6 dung6
自动波,zi6 dung6 bo1
自动自觉,zi6 dung6 zi6 gok3
自助餐,zi6 zo6 caan1
自動,zi6 dung6
自動波,zi6 dung6 bo1
自動自覺,zi6 dung6 zi6 gok3
自圆其说,zi6 jyun4 kei4 syut3
自圓其說,zi6 jyun4 kei4 syut3
自大,zi6 daai6
自己,zi6 gei2
自己人,zi6 gei2 jan4
自從,zi6 cung4
自愧不如,zi6 kwai5 bat1 jyu4
自愿,zi6 jyun6
自我,zi6 ngo5
自把自为,zi6 baa2 zi6 wai4
自把自為,zi6 baa2 zi6 wai4
自杀,zi6 saat3
自此,zi6 ci2
自殺,zi6 saat3
自然,zi6 jin4
自由,zi6 jau4
自由自在,zi6 jau4 zi6 zoi6
自私,zi6 si1
自称,zi6 cing1
自稱,zi6 cing1
自細,zi6 sai3
自细,zi6 sai3
自荐,zi6 zin3
自薦,zi6 zin3
自費,zi6 fai3
自费,zi6 fai3
自閉,zi6 bai3
自闭,zi6 bai3
自願,zi6 jyun6
臭,cau3
至,zi3
至上,zi3 soeng6
至于,zi3 jyu1
至到,zi3 dou3
至少,zi3 siu2
至得,zi3 dak1
至於,zi3 jyu1
致命伤,zi3 ming6 soeng1
致命傷,zi3 ming6 soeng1
臺,toi4
臺下,toi4 haa6
臺北,toi4 bak1
臺灣,toi4 waan1
臺費,toi4 fai3
舆论,jyu4 leon6
與,jyu5
與其,jyu5 kei4
與眾不同,jyu5 zung3 bat1 tung4
興,hing1
興奮,hing1 fan5
興趣,hing3 ceoi3
舉,geoi2
舉例,geoi2 lai6
舉手,geoi2 sau2
舊,gau6
舊年,gau6 nin2
舊時,gau6 si4
舊陣時,gau6 zan6 si4
舋,man3
舍,se2
舍得,se2 dak1
舒服,syu1 fuk6
舒灵咸,syu1 ling4 haam4
舒舒服服,syu1 syu1 fuk6 fuk6
舒靈咸,syu1 ling4 haam4
舒靈鹹,syu1 ling4 haam4
舖,pou2
舖头,pou3 tau2
舖頭,pou3 tau2
舞,mou5
舞台剧,mou5 toi4 kek6
舞台劇,mou5 toi4 kek6
舞臺劇,mou5 toi4 kek6
舟,zau1
航空,hong4 hung1
船,syun4
艰难,gaan1 naan4
艱難,gaan1 naan4
色,sik1
艳舞,jim6 mou5
艷舞,jim6 mou5
艺人,ngai6 jan4
艺员,ngai6 jyun4
艺术,ngai6 seot6
艺术家,ngai6 seot6 gaa1
艾尔顿,aai6 ji5 deon6
艾爾頓,aai6 ji5 deon6
节,zit3
节俭,zit3 gim6
节奏,zit3 zau3
节目,zit3 muk6
节节,zit6 zit6
芝士,zi1 si2
芝娃娃,zi6 waa1 waa4
芬兰,fan1 laan4
芬蘭,fan1 laan4
花,faa1
花名,faa1 meng2
花园,faa1 jyun2
花園,faa1 jyun2
花招,faa1 ziu1
花生油,faa1 sang1 jau4
苏屋村,sou1 uk1 cyun1
若有所指,joek6 jau5 so2 zi2
若果,joek6 gwo2
苦,fu2
苦乐参半,fu2 lok6 caam1 bun3
苦樂參半,fu2 lok6 caam1 bun3
英,jing1
英国,jing1 gwok3
英國,jing1 gwok3
英女皇,jing1 neoi5 wong4
英文,jing1 man2
英格兰,jing1 gaak3 laan4
英格蘭,jing1 gaak3 laan4
英皇,jing1 wong2
英航,jing1 hong4
英雄,jing1 hung4
茂,mau6
范,faan6
范畴,faan6 cau4
茜嘉,sai1 gaa1
茜瓜,sai1 gwaa1
茶,caa4
茶壶,caa4 wu2
茶壺,caa4 wu2
茶楼,caa4 lau4
茶樓,caa4 lau4
茶餐厅,caa4 caan1 teng1
茶餐廳,caa4 caan1 teng1
荃湾,cyun4 waan1
荃灣,cyun4 waan1
荆轲刺秦王,ging1 o1 ci3 ceon4 wong4
草,cou2
草地,cou2 dei6
草菇,cou2 gu1
荊軻刺秦王,ging1 o1 ci3 ceon4 wong4
荒謬,fong1 mau6
荒谬,fong1 mau6
荔景,lai6 ging2
荔枝,lai6 zi1
荞英,kiu4 jing1
荡失,dong6 sat1
荣,wing4
荫,jam1
药,joek6
药水,joek6 seoi2
荷兰,ho4 lan1
荷李活,ho4 lei5 wut6
荷蘭,ho4 lan1
莫講話,mok6 gong2 waa6
莫讲话,mok6 gong2 waa6
莲,lin4
获得,wok6 dak1
菌,kwan2
菜,coi3
華人,waa4 jan4
華健,waa4 gin6
華航,waa4 hong4
菲,fei1
菲律宾,fei1 leot6 ban1
菲律賓,fei1 leot6 ban1
萝卜,lo4 baak6
萤光幕,jing4 gwong1 mok6
营运,jing4 wan6
萧,siu1
萬,maan6
萬一,maan6 jat1
萬七,maan6 cat1
萬五,maan6 ng5
萬八,maan6 baat3
萬六,maan6 luk6
萬四,maan6 sei3
萬年油,maan6 nin4 jau4
萱,hyun1
落,lok6
落來,lok6 lai4
落力,lok6 lik6
落去,lok6 heoi3
落手,lok6 sau2
落机,lok6 gei1
落来,lok6 lai4
落标价,lok6 biu1 gaa3
落標價,lok6 biu1 gaa3
落機,lok6 gei1
落笔,lok6 bat1
落筆,lok6 bat1
落雨,lok6 jyu5
葉,jip6
著数,zoek6 sou3
著數,zoek6 sou3
著衫,zoek3 saam1
葛,got3
葡萄,pou4 tou4
葵涌,kwai4 cung1
葵芳,kwai4 fong1
葵鼠,kwai4 syu2
蒙罗丽莎,mung4 lo4 lai6 saa1
蒙羅麗莎,mung4 lo4 lai6 saa1
蒜蓉,syun3 jung4
蒲,pou4
蒸魚,zing1 jyu2
蒸鱼,zing1 jyu2
蓄意,cuk1 ji3
蓋,goi3
蓝筹,laam4 cau2
蓝色,laam4 sik1
蓬勃,fung4 but6
蓮,lin4
蔡,coi3
蔬菜,so1 coi3
蔭,jam1
蔼明,oi2 ming4
蕃薯乾,faan1 syu2 gon1
蕃薯干,faan1 syu2 gon1
蕉,ziu1
蕎英,kiu4 jing1
蕩失,dong6 sat1
蕭,siu1
薄,bok6
薪酬,san1 cau4
薯仔,syu4 zai2
薯条,syu4 tiu2
薯條,syu4 tiu2
薯蓉,syu4 jung4
藉助,ze3 zo6
藉口,ze3 hau2
藍籌,laam4 cau2
藍色,laam4 sik1
藏,cong4
藝人,ngai6 jan4
藝員,ngai6 jyun4
藝術,ngai6 seot6
藝術家,ngai6 seot6 gaa1
藥,joek6
藥水,joek6 seoi2
藹明,oi2 ming4
蘇屋村,sou1 uk1 cyun1
蘍,fan1
蘿蔔,lo4 baak6
處,cyu3
處境,cyu5 ging2
處於,cyu5 jyu1
處理,cyu5 lei5
處置,cyu3 zi3
虚名,heoi1 ming4
虚无飘渺,heoi1 mou4 piu1 miu5
虛名,heoi1 ming4
虛無飄渺,heoi1 mou4 piu1 miu5
號,hou6
號碼,hou6 maa5
虧,kwai1
虫,cung4
虽然,seoi1 jin4
虾,haa1
蚀,sit6
蚀底,sik6 dai2
蚊,man1
蚊滋,man1 zi1
蚊𧕴,man1 naan3
蚕虫,caam4 cung2
蚚蜴,sik1 jik6
蚱蜢,zaa3 maang2
蛄,gu1
蛇蛇猪,se4 se4 zyu1
蛇蛇豬,se4 se4 zyu1
蛊,gu2
蛋,daan2
蛋糕,daan6 gou1
蜡烛,laap6 zuk1
蜢,maang2
蜥蜴,sik1 jik6
蝕,sit6
蝕底,sik6 dai2
蝙蝠,pin1 fuk1
蝙蝠女,pin1 fuk1 neoi2
蝦,haa1
螂,long4
融,jung4
融洽,jung4 hap1
螢光幕,jing4 gwong1 mok6
螳,tong4
蟲,cung4
蠟燭,laap6 zuk1
蠢,ceon2
蠱,gu2
蠶蟲,caam4 cung2
血,hyut3
行,haang4
行业,hong4 jip6
行为,hang4 wai4
行入,haang4 jap6
行出,haang4 ceot1
行动,hang4 dung6
行動,hang4 dung6
行去,haang4 heoi3
行山,haang4 saan1
行开,haang4 hoi1
行情,hong4 cing4
行政,hang4 zing3
行李,hang4 lei5
行業,hong4 jip6
行為,hang4 wai4
行街,haang4 gaai1
行貨,hong4 fo3
行货,hong4 fo3
行路,haang4 lou6
行開,haang4 hoi1
術語,seot6 jyu5
街,gaai1
街坊,gaai1 fong1
街边,gaai1 bin1
街邊,gaai1 bin1
衛生,wai6 sang1
衛生署,wai6 sang1 cyu5
衝,cung1
衝動,cung1 dung6
衝破,cung1 po3
衡量,hang4 loeng6
衣柜,ji1 gwai6
衣櫃,ji1 gwai6
衣著,ji1 zoek3
衣錦還鄉,ji1 gam2 waan4 hoeng1
衣锦还乡,ji1 gam2 waan4 hoeng1
补,bou2
补习,bou2 zaap6
补习天王,bou2 zaap6 tin1 wong4
补习社,bou2 zaap6 se5
补水,bou2 seoi2
补祝,bou2 zuk1
表,biu2
表哥,biu2 go1
表姐,biu2 ze2
表弟,biu2 dai2
表现,biu2 jin6
表現,biu2 jin6
表露,biu2 lou6
衫,saam1
衬,can3
衰,seoi1
衰人,seoi1 jan4
袋,doi2
袖,zau6
被,pei5
被窦,pei5 dau3
被竇,pei5 dau3
被迫,bei6 bik1
袭,zaap6
裁员,coi4 jyun4
裁員,coi4 jyun4
装,zong1
装修,zong1 sau1
裏,leoi5
裏便,leoi5 bin6
裏邊,leoi5 bin6
裏面,leoi5 min6
裙,kwan4
裙脚仔,kwan4 goek3 zai2
裙腳仔,kwan4 goek3 zai2
補,bou2
補水,bou2 seoi2
補祝,bou2 zuk1
補習,bou2 zaap6
補習天王,bou2 zaap6 tin1 wong4
補習社,bou2 zaap6 se5
裝,zong1
裝修,zong1 sau1
裤,fu3
裱,biu2
裸泳,lo2 wing6
製作,zai3 zok3
製作人,zai3 zok3 jan4
製成,zai3 sing4
製造,zai3 zou6
製造業,zai3 zou6 jip6
複,fuk1
複雜,fuk1 zaap6
褛,lau1
褛尾,lau1 mei1
褪,tan3
褪后,tan3 hau6
褪後,tan3 hau6
褲,fu3
褸,lau1
褸尾,lau1 mei1
襯,can3
襲,zaap6
西,sai1
西人,sai1 jan4
西兰花,sai1 laan4 faa1
西式,sai1 sik1
西德,sai1 dak1
西施,sai1 si1
西洋,sai1 joeng4
西片,sai1 pin2
西班牙文,sai1 baan1 ngaa4 man4
西瓜,sai1 gwaa1
西蘭花,sai1 laan4 faa1
西装,sai1 zong1
西裝,sai1 zong1
西裤,sai1 fu3
西褲,sai1 fu3
西隧,sai1 seoi6
要,jiu3
要求,jiu1 kau4
覆,fuk1
見,gin3
見到,gin3 dou2
見地,gin3 dei6
見工,gin3 gung1
見習,gin3 zaap6
見証,gin3 zing3
見識,gin3 sik1
規律,kwai1 leot6
規模,kwai1 mou4
覓,mik6
視乎,si6 fu4
親,can1
親人,can1 jan4
親戚,can1 cik1
親熱,can1 jit6
親眼,can1 ngaan5
親自,can1 zi6
覮,jing4
覺,gok3
覺得,gok3 dak1
觀,gun1
觀光點,gun1 gwong1 dim2
觀團,gun1 tyun4
觀塘,gun1 tong4
觀眾,gun1 zung3
觀音,gun1 jam1
觀點,gun1 dim2
见,gin3
见习,gin3 zaap6
见到,gin3 dou2
见地,gin3 dei6
见工,gin3 gung1
见证,gin3 zing3
见识,gin3 sik1
观,gun1
观众,gun1 zung3
观光点,gun1 gwong1 dim2
观团,gun1 tyun4
观塘,gun1 tong4
观点,gun1 dim2
观音,gun1 jam1
规律,kwai1 leot6
规模,kwai1 mou4
觅,mik6
视乎,si6 fu4
觉,gok3
觉得,gok3 dak1
角度,gok3 dou6
解,gaai2
解体,gaai2 tai2
解剖,gaai2 fau2
解法,gaai2 faat3
解码,gaai2 maa5
解碼,gaai2 maa5
解签,gaai2 cim1
解籤,gaai2 cim1
解释,gaai2 sik1
解釋,gaai2 sik1
解體,gaai2 tai2
触觉,zuk1 gok3
觸覺,zuk1 gok3
言語,jin4 jyu5
言语,jin4 jyu5
訂,deng6
訂婚,ding6 fan1
計,gai3
計仔,gai2 zai2
計分,gai3 fan1
計劃,gai3 waak6
計數,gai3 sou3
計正,gai3 zing3
訓練,fan3 lin6
託,tok3
託賴,tok3 laai6
記,gei3
記住,gei3 zyu6
記得,gei3 dak1
記者,gei3 ze2
記錄,gei2 luk6
訪問,fong2 man6
設,cit3
設定,cit3 ding6
設施,cit3 si1
設計,cit3 gai3
註冊,zyu3 caak3
証,zing3
証件,zing3 gin2
詐胡,zaa3 wu2
詔,ziu3
評,ping4
評價,ping4 gaa3
評論,ping4 leon6
評論員,ping4 leon6 jyun4
詛咒,zeoi2 zau3
詠琪,wing6 kei4
詠麟,wing6 leon4
試,si3
試場,si5 coeng4
試探,si3 taam3
試試,si3 si3
試過,si3 gwo3
試題,si5 tai4
話,waa6
話事,waa6 si6
話明,waa6 ming4
話時話,waa6 si4 waa6
話說,waa6 syut3
話題,waa6 tai4
話齋,waa6 zaai1
詳,coeng4
詳情,coeng4 cing4
詳盡,coeng4 zeon6
詳細,coeng4 sai3
誇,kwaa1
誇張,kwaa1 zoeng1
認,jing6
認可,jing6 ho2
認同,jing6 tung4
認得,jing6 dak1
認真,jing6 zan1
認知,jing6 zi1
認識,jing6 sik1
誒,e6
誓,sai6
語,jyu5
語文,jyu5 man4
語氣,jyu5 hei3
語言,jyu5 jin4
誣,mou4
誤,ng6
說明書,syut3 ming4 syu1
說服力,seoi3 fuk6 lik6
說話,syut3 waa6
誰,seoi4
課,fo3
課外,fo3 ngoi6
課室,fo3 sat1
課程,fo3 cing4
調,diu6
調亂,diu6 lyun6
調包,diu6 baau1
調味品,tiu4 mei6 ban2
調查,tiu4 caa4
調節,tiu4 zit3
調轉,diu6 zyun3
談談情,taam4 taam4 cing4
談論,taam4 leon6
請,ceng2
請人,ceng2 jan4
請問,cing2 man6
請飲,ceng2 jam2
論,leon6
論文,leon6 man2
諗,nam2
諗法,nam2 faat3
諗諗,nam2 nam2
諸如,zyu1 jyu4
諸如此類,zyu1 jyu4 ci2 leoi6
謀,mau4
謀殺,mau4 saat3
謎,mai4
講,gong2
講出,gong2 ceot1
講嘢,gong2 je5
講得,gong2 dak1
講明,gong2 ming4
講法,gong2 faat3
講真,gong2 zan1
講笑,gong2 siu3
講話,gong2 waa6
講講,gong2 gong2
講起,gong2 hei2
謝,ze6
證實,zing3 sat6
證明,zing3 ming4
證書,zing3 syu1
識,sik1
識得,sik1 dak1
識講嘢,sik1 gong2 je5
識路,sik1 lou6
譚,taam4
譜,pou2
警,ging2
警告,ging2 gou3
警察,ging2 caat3
警方,ging2 fong1
警署,ging2 cyu3
譬如,pei3 jyu4
譬如話,pei3 jyu4 waa6
譬如话,pei3 jyu4 waa6
譯,jik6
譯本,jik6 bun2
譯者,jik6 ze2
議事亭,ji5 si6 ting4
讀,duk6
讀書,duk6 syu1
讀音,duk6 jam1
變,bin3
變做,bin3 zou6
變化,bin3 faa3
變態,bin3 taai3
變成,bin3 sing4
變遷,bin3 cin1
讓,joeng6
讓出,joeng6 ceot1
讕,laan2
计,gai3
计仔,gai2 zai2
计分,gai3 fan1
计划,gai3 waak6
计数,gai3 sou3
计正,gai3 zing3
订,deng6
订婚,ding6 fan1
认,jing6
认可,jing6 ho2
认同,jing6 tung4
认得,jing6 dak1
认真,jing6 zan1
认知,jing6 zi1
认识,jing6 sik1
让,joeng6
让出,joeng6 ceot1
训练,fan3 lin6
议事亭,ji5 si6 ting4
记,gei3
记住,gei3 zyu6
记录,gei2 luk6
记得,gei3 dak1
记者,gei3 ze2
讲,gong2
讲出,gong2 ceot1
讲嘢,gong2 je5
讲得,gong2 dak1
讲明,gong2 ming4
讲法,gong2 faat3
讲真,gong2 zan1
讲笑,gong2 siu3
讲讲,gong2 gong2
讲话,gong2 waa6
讲起,gong2 hei2
论,leon6
论文,leon6 man2
设,cit3
设定,cit3 ding6
设施,cit3 si1
设计,cit3 gai3
访问,fong2 man6
证,zing3
证书,zing3 syu1
证件,zing3 gin2
证实,zing3 sat6
证明,zing3 ming4
评,ping4
评价,ping4 gaa3
评论,ping4 leon6
评论员,ping4 leon6 jyun4
诅咒,zeoi2 zau3
识,sik1
识得,sik1 dak1
识讲嘢,sik1 gong2 je5
识路,sik1 lou6
诈胡,zaa3 wu2
诏,ziu3
译,jik6
译本,jik6 bun2
译者,jik6 ze2
试,si3
试场,si5 coeng4
试探,si3 taam3
试试,si3 si3
试过,si3 gwo3
试题,si5 tai4
话,waa6
话事,waa6 si6
话斋,waa6 zaai1
话时话,waa6 si4 waa6
话明,waa6 ming4
话说,waa6 syut3
话题,waa6 tai4
详,coeng4
详尽,coeng4 zeon6
详情,coeng4 cing4
详细,coeng4 sai3
诬,mou4
语,jyu5
语文,jyu5 man4
语气,jyu5 hei3
语言,jyu5 jin4
误,ng6
说明书,syut3 ming4 syu1
说服力,seoi3 fuk6 lik6
说话,syut3 waa6
诶,e6
请,ceng2
请人,ceng2 jan4
请问,cing2 man6
请饮,ceng2 jam2
诸如,zyu1 jyu4
诸如此类,zyu1 jyu4 ci2 leoi6
读,duk6
读书,duk6 syu1
读音,duk6 jam1
课,fo3
课外,fo3 ngoi6
课室,fo3 sat1
课程,fo3 cing4
谁,seoi4
谂,nam2
谂法,nam2 faat3
谂谂,nam2 nam2
调,diu6
调乱,diu6 lyun6
调包,diu6 baau1
调味品,tiu4 mei6 ban2
调查,tiu4 caa4
调节,tiu4 zit3
调转,diu6 zyun3
谈论,taam4 leon6
谈谈情,taam4 taam4 cing4
谋,mau4
谋杀,mau4 saat3
谜,mai4
谢,ze6
谭,taam4
谰,laan2
谱,pou2
谷,guk1
谷孙,guk1 syun1
谷孫,guk1 syun1
豈,hei2
豉油西餐,si6 jau4 sai1 caan1
豎起,syu6 hei2
豐,fung1
豐澤,fung1 zaak6
豬,zyu1
豬仔,zyu1 zai2
豬嘴,zyu1 zeoi2
豬朋,zyu1 pang4
豬肉,zyu1 juk6
豬頭炳,zyu1 tau4 bing2
豹皮,paau3 pei2
貓,maau1
貓仔,maau1 zai2
負,fu6
負擔,fu6 daam1
負責,fu6 zaak3
負面,fu6 min2
財,coi4
財政,coi4 zing3
財物,coi4 mat6
財經,coi4 ging1
貨,fo3
貨倉,fo3 cong1
貨品,fo3 ban2
貨櫃,fo3 gwai6
販賣,faan5 maai6
貪,taam1
貪心,taam1 sam1
貪慕虛榮,taam1 mou6 heoi1 wing4
貫中,gun3 zung1
責任,zaak3 jam6
貴,gwai3
貶,bin2
買,maai5
買嘢,maai5 je5
買家,maai5 gaa1
買返,maai5 faan1
費,fai3
費事,fai3 si6
費城,fai3 sing4
費格遜,fai3 gaak3 seon3
貼,tip3
貼紙,tip3 zi2
貿貿然,mau6 mau6 jin4
賀,ho6
資助,zi1 zo6
資料,zi1 liu2
資源,zi1 jyun4
資產,zi1 caan2
資產值,zi1 caan2 zik6
資訊,zi1 seon3
賊,caak2
賊佬,caak3 lou2
賊眉賊眼,caak6 mei4 caak6 ngaan5
賓,ban1
賓騰,ban1 tang4
賞賜,soeng2 ci3
賠,pui4
賢,jin4
賣,maai6
賣家,maai6 gaa1
賣淫,maai6 jam4
賣豬仔,maai6 zyu1 zai2
賤格,zin6 gaak3
質地,zat1 dei2
質感,zat1 gam2
質數,zat1 sou3
質素,zat1 sou3
質量,zat1 loeng6
賬,zoeng3
賭場,dou2 coeng4
賭搏,dou2 bok3
賺,zaan6
賺錢,zaan6 cin2
購物,kau3 mat6
賽事,coi3 si6
贊,zaan3
贊助,zaan4 zo6
贊同,zaan3 tung4
贊成,zaan3 sing4
贏,jeng4
贓,zong1
负,fu6
负担,fu6 daam1
负责,fu6 zaak3
负面,fu6 min2
财,coi4
财政,coi4 zing3
财物,coi4 mat6
财经,coi4 ging1
责任,zaak3 jam6
贤,jin4
败家,baai6 gaa1
账,zoeng3
货,fo3
货仓,fo3 cong1
货品,fo3 ban2
货柜,fo3 gwai6
质地,zat1 dei2
质感,zat1 gam2
质数,zat1 sou3
质素,zat1 sou3
质量,zat1 loeng6
贩卖,faan5 maai6
贪,taam1
贪心,taam1 sam1
贪慕虚荣,taam1 mou6 heoi1 wing4
贬,bin2
购物,kau3 mat6
贯中,gun3 zung1
贱格,zin6 gaak3
贴,tip3
贴纸,tip3 zi2
贵,gwai3
贸贸然,mau6 mau6 jin4
费,fai3
费事,fai3 si6
费城,fai3 sing4
费格逊,fai3 gaak3 seon3
贺,ho6
贼,caak2
贼佬,caak3 lou2
贼眉贼眼,caak6 mei4 caak6 ngaan5
赃,zong1
资产,zi1 caan2
资产值,zi1 caan2 zik6
资助,zi1 zo6
资料,zi1 liu2
资源,zi1 jyun4
资讯,zi1 seon3
赌场,dou2 coeng4
赌搏,dou2 bok3
赏赐,soeng2 ci3
赔,pui4
赚,zaan6
赚钱,zaan6 cin2
赛事,coi3 si6
赞,zaan3
赞助,zaan4 zo6
赞同,zaan3 tung4
赞成,zaan3 sing4
赢,jeng4
赤,cek3
赤裸裸,cek3 lo2 lo2
赤道,cek3 dou6
赫,hak1
走,zau2
走人,zau2 jan4
走佬,zau2 lou2
走來,zau2 lai4
走入,zau2 jap6
走去,zau2 heoi3
走廊,zau2 long2
走开,zau2 hoi1
走来,zau2 lai4
走走,zau2 zau2
走開,zau2 hoi1
走馬看燈,zau2 maa5 hon3 dang1
走马看灯,zau2 maa5 hon3 dang1
赴,fu6
赵,ziu6
赶,gon2
赶住,gon2 zyu6
赶头赶命,gon2 tau4 gon2 meng6
赶稿,gon2 gou2
赶走,gon2 zau2
起,hei2
起上來,hei2 soeng5 lei4
起上来,hei2 soeng5 lei4
起來,hei2 lei4
起坛,hei2 taan4
起壇,hei2 taan4
起度,hei2 dou6
起来,hei2 lei4
起源,hei2 jyun4
起码,hei2 maa5
起碼,hei2 maa5
起脚,hei2 goek3
起腳,hei2 goek3
起身,hei2 san1
趁,can3
超,ciu1
超人,ciu1 jan4
超任,ciu1 jam6
超級,ciu1 kap1
超級任天堂,ciu1 kap1 jam6 tin1 tong4
超级,ciu1 kap1
超级任天堂,ciu1 kap1 jam6 tin1 tong4
超能力,ciu1 nang4 lik6
超自然,ciu1 zi6 jin4
超过,ciu1 gwo3
超過,ciu1 gwo3
越,jyut6
越來越,jyut6 lai4 jyut6
越做越,jyut6 zou6 jyut6
越来越,jyut6 lai4 jyut6
越秀,jyut6 sau3
越秀投猪,jyut6 sau3 tau4 zyu1
越秀投豬,jyut6 sau3 tau4 zyu1
越秀投資,jyut6 sau3 tau4 zi1
越秀投资,jyut6 sau3 tau4 zi1
趋势,ceoi1 sai3
趋吉避凶,ceoi1 gat1 bei6 hung1
趕,gon2
趕住,gon2 zyu6
趕稿,gon2 gou2
趕走,gon2 zau2
趕頭趕命,gon2 tau4 gon2 meng6
趙,ziu6
趟,tong3
趨勢,ceoi1 sai3
趨吉避兇,ceoi1 gat1 bei6 hung1
足,zuk1
足够,zuk1 gau3
足夠,zuk1 gau3
足球,zuk1 kau4
足球场,zuk1 kau4 coeng4
足球場,zuk1 kau4 coeng4
趴,paa1
趷,gat6
趸,dan2
趾,zi2
跌,dit3
跌打,tit3 daa2
跌落,dit3 lok6
跑,paau2
跑出,paau2 ceot1
跑步,paau2 bou6
跑馬,paau2 maa5
跑马,paau2 maa5
跟,gan1
跟从,gan1 cung4
跟住,gan1 zyu6
跟团,gan1 tyun4
跟團,gan1 tyun4
跟從,gan1 cung4
跡,zik1
跣低,sin3 dai1
路,lou6
路环,lou6 waan4
路環,lou6 waan4
路線,lou6 sin3
路线,lou6 sin3
路过,lou6 gwo3
路過,lou6 gwo3
跳,tiu3
跳楼,tiu3 lau2
跳樓,tiu3 lau2
跳舞,tiu3 mou5
跳跳舞,tiu3 tiu3 mou5
踎,mau1
踢,tek3
踢出,tek3 ceot1
踢波,tek3 bo1
踩,caai2
蹉商,co1 soeng1
蹦,baang6
蹲,cyun4
躉,dan2
躝,laan1
身,san1
身上,san1 soeng6
身为人母,san1 wai4 jan4 mou5
身份,san1 fan2
身份證,san1 fan2 zing3
身份证,san1 fan2 zing3
身体,san1 tai2
身在福中不知福,san1 zoi6 fuk1 zung1 bat1 zi1 fuk1
身型,san1 jing4
身為人母,san1 wai4 jan4 mou5
身边,san1 bin1
身邊,san1 bin1
身體,san1 tai2
躭,daam1
車,ce1
車位,ce1 wai2
車卡,ce1 kaa1
車房,ce1 fong4
車牌,ce1 paai4
車行,ce1 hong2
車費,ce1 fai3
車身,ce1 san1
軌道,gwai2 dou6
軍火,gwan1 fo2
軟,jyun5
較,gaau3
載,zoi3
輕,heng1
輕keng4,heng1 keng4
輕鬆,hing1 sung1
輛,loeng6
輝煌,fai1 wong4
輝虹,fai1 hung4
輩,bui3
輪,leon4
輪流,leon4 lau2
輸,syu1
輿論,jyu4 leon6
轆,luk1
轉,zyun3
轉播,zyun2 bo3
轉移,zyun2 ji4
轉而,zyun2 ji4
轉職,zyun2 zik1
轉車,zyun3 ce1
轉頭,zyun3 tau4
轎,giu2
轟,gwang1
车,ce1
车位,ce1 wai2
车卡,ce1 kaa1
车房,ce1 fong4
车牌,ce1 paai4
车行,ce1 hong2
车费,ce1 fai3
